year,player,country,club,_ingestion_id,_ingested_at,_source_file,_source_format,_run_id
2009,Lionel Messi,Argentina,Barcelona,2296446c-67bd-4313-ac06-a06df9a378e3,2026-08-14T11:38:43.683308,ballon_dor_awards.xml,XML_BALLON,aa010f75-72ca-4ddd-beea-f5acf84cf033
2010,Lionel Messi,Argentina,Barcelona,96f760ab-cd9a-4f03-ba4f-1f158570a3cc,2026-08-14T11:38:43.683308,ballon_dor_awards.xml,XML_BALLON,aa010f75-72ca-4ddd-beea-f5acf84cf033
2011,Lionel Messi,Argentina,Barcelona,13fe6d1d-0fd3-4b97-8127-41e820ab828c,2026-08-14T11:38:43.683308,ballon_dor_awards.xml,XML_BALLON,aa010f75-72ca-4ddd-beea-f5acf84cf033
2012,Lionel Messi,Argentina,Barcelona,54aca6c0-b1d9-4ec0-a3bf-b6ab04f81c62,2026-08-14T11:38:43.683308,ballon_dor_awards.xml,XML_BALLON,aa010f75-72ca-4ddd-beea-f5acf84cf033
2013,Cristiano Ronaldo,Portugal,Real Madrid,683fdd0c-dafc-43e2-b627-8b730c0e1912,2026-08-14T11:38:43.683308,ballon_dor_awards.xml,XML_BALLON,aa010f75-72ca-4ddd-beea-f5acf84cf033
2014,Cristiano Ronaldo,Portugal,Real Madrid,ccd08644-e3da-4a9e-9fce-56542364747e,2026-08-14T11:38:43.683308,ballon_dor_awards.xml,XML_BALLON,aa010f75-72ca-4ddd-beea-f5acf84cf033
2015,Lionel Messi,Argentina,Barcelona,738d5081-1acd-4856-b479-f92a8d64839e,2026-08-14T11:38:43.683308,ballon_dor_awards.xml,XML_BALLON,aa010f75-72ca-4ddd-beea-f5acf84cf033
2016,Cristiano Ronaldo,Portugal,Real Madrid,0a2ea48d-ef43-4f25-b91a-30dd13d5db11,2026-08-14T11:38:43.683308,ballon_dor_awards.xml,XML_BALLON,aa010f75-72ca-4ddd-beea-f5acf84cf033
2017,Cristiano Ronaldo,Portugal,Real Madrid,06947a83-fe16-4253-99c5-9f25bca0dd0d,2026-08-14T11:38:43.683308,ballon_dor_awards.xml,XML_BALLON,aa010f75-72ca-4ddd-beea-f5acf84cf033
2018,Luka Modrić,Croatia,Real Madrid,a4e2cdeb-0468-43fe-8112-e8addbe7f34b,2026-08-14T11:38:43.683308,ballon_dor_awards.xml,XML_BALLON,aa010f75-72ca-4ddd-beea-f5acf84cf033
2019,Lionel Messi,Argentina,Barcelona,6fed8ef4-ed87-4a44-a870-3fdad3177757,2026-08-14T11:38:43.683308,ballon_dor_awards.xml,XML_BALLON,aa010f75-72ca-4ddd-beea-f5acf84cf033
2020,NOT AWARDED,,COVID-19 pandemic cancellation,5b30a929-a426-45a8-8a76-163a89e09889,2026-08-14T11:38:43.683308,ballon_dor_awards.xml,XML_BALLON,aa010f75-72ca-4ddd-beea-f5acf84cf033
2021,Lionel Messi,Argentina,Paris Saint-Germain,36872fb2-8c40-4a74-9fe9-6d763e8d5683,2026-08-14T11:38:43.683308,ballon_dor_awards.xml,XML_BALLON,aa010f75-72ca-4ddd-beea-f5acf84cf033
2022,Karim Benzema,France,Real Madrid,634f89c2-e58a-4332-9ac9-228f04720ee6,2026-08-14T11:38:43.683308,ballon_dor_awards.xml,XML_BALLON,aa010f75-72ca-4ddd-beea-f5acf84cf033
2023,Lionel Messi,Argentina,Paris Saint-Germain,5a5624a8-f2a0-4be1-b38a-a10940f15d30,2026-08-14T11:38:43.683308,ballon_dor_awards.xml,XML_BALLON,aa010f75-72ca-4ddd-beea-f5acf84cf033
2024,Rodri,Spain,Manchester City,cce06b6d-cff8-4873-af1a-5c65037ff00a,2026-08-14T11:38:43.683308,ballon_dor_awards.xml,XML_BALLON,aa010f75-72ca-4ddd-beea-f5acf84cf033
2025,Ousmane Dembélé,France,Paris Saint-Germain,959b9927-2be1-4bb7-9988-1b49c456ad9b,2026-08-14T11:38:43.683308,ballon_dor_awards.xml,XML_BALLON,aa010f75-72ca-4ddd-beea-f5acf84cf033
